Ulasan,Learnability,Efficiency,Errors,Satisfaction,
Gabisa di dowloand,0,0,1,0,
tidak bisa di sign in parah banget aplikasi ini,0,0,1,0,
Dih tollol sign up susah kali,0,0,1,0,
Mau log in INVALID trs. Tolong diperbaikiiiiiiiiiiiii,0,0,1,0,
"Order aja loading nya g karu2 an, app luar kalau udh masuk indo ya gini",0,0,1,0,
malah nggak bisa login. saldo hilang,0,0,1,0,
Ga bisa sign up padahal data uda di isi semua,0,0,1,0,
Oooop,0,0,0,0,
kemarin beli tumbler..eh apps nya ga bsa dipake :(,1,0,0,0,
gabisa ambil rewards padahal starnya udah cukup,0,0,1,0,
"Semakin gak jelas... update ni aplikasi aja harus login accout google segala. Terlalu ribetttt. Tolong diperbaiki. aplikasi dibuat itu untuk memprmudah. Bukan untuk mempersulit pengguna aplikasi. Oke, bisa dipahami untik menjaga data custemer, tapi bukan dengan cara seperti ini.. terlalu bertele-tele",1,1,0,0,
"Starbucks cabang di Palangka Raya, Kalimantan Tengah, gk ada di appnya, gimana coba?",0,0,1,0,
Biasa login pake no hp sekarang minta email.kaga jelas amat sih....,0,1,0,0,
Mungkin sebaiknya ada bahasa Indonesianya,0,0,1,0,
"Sudah aktifkan lokasi, tapi tetap store yg terdekat di daerah Jakarta. Percuma di aktifkan lokasi.",0,0,1,0,
mau register aja eror mulu nyesel downloas aplikasi ini 🤡,0,0,1,0,
"Br install, sampe ganti email & nmr HP tp tetep ngga bisa sign in.. Tunggu beberapa hari tetep invalid mulu. Dahlah uninstall aja",0,0,1,0,
"Ga niat bikin aplikasi, lemot..",1,1,0,0,
"tolong banget ini diperbaiki sistemnya yang lagi buat akun baru, saya sudah benar masukkin kode OTP nya dan pas sign up malah invalid",0,0,1,0,
Setelah up date semakin ribet,0,1,0,0,
Jelek bgt aplikasinya...milih area kota sendiri buat order munculnya jakarta mulu..,0,0,1,0,
Pakai kode referral saat daftar (sign up) SELSABILLAA-676825 -reward diskon 25k min pembelian 50K -reward minuman tall 10k setelah top up (Reward berlaku selama 7 hari),0,0,0,0,
Aplikasi gak guna. Mau registered aja susah banget,0,0,1,0,
"Tidak bisa login, kode OTP selalu salah.",0,0,1,0,
"Banyak gratisan, asal tau promonya",0,0,1,0,
"Saya pengguna lama Starbucks Card, dan sdh Gold Level, ini mau update knp susah sekali, apakah ini mempengaruhi isi dan reward di card saya? Tolong sistemnya jangan terlalu ketat begini.",0,1,1,0,
Saat mau buat akun kode OTP ga muncul²,0,0,1,0,
Loading lama,0,1,1,0,
Loading lama gamasuk masuk,0,0,1,0,
RIBET,0,0,0,1,
Mantap sekali kopinya enak,0,0,0,0,
aneh bgt mau join malah gabisa diklik-_-,1,0,1,0,
"Kerjaan Starbuck IT tambah parah, tiap kali update dan tambah lemot saja, kalo bintang 0, sy kasih bintang 0",1,1,0,0,
Susehhhh,0,0,0,1,
Good. Fiturnya lebih banyak dibanding versi di luar negeri 👍,0,0,1,1,
Aplikasinya kurang stabil. Bisa tiba-tiba keluar sendiri dari aplikasi.,1,0,1,0,
sometimes the application can not be opened,1,0,1,0,
"Sekelas starbucks mau daftar aja susah banget, invalid terus capek",0,0,1,0,
"Secara fitur sudah tergolong banyak, fitur cukup informatif, lebih memudahkan. Untuk kecepatan loading tolong ditingkatkan",0,1,1,0,
"Mempermudah skali, pesan tanpa ke kasir, bisa liat all menu, dan info lengkap cuma lewat aplikasi",0,1,0,0,
Pesen pake aplikasi praktis ga perlu ngantri.. Banyak voucher dan promo nya.,0,1,0,0,
"Aduh giliran mau di pake suruh update, biasa tinggal klik update trs langsung bisa dipake, ini kenapa malah disuruh instal di perangkat lain😩mana masi ada saldo nya, gimana ini",0,0,1,0,
Saya tidak bisa masuk ke aplikasi di situ ada saldooo woiiii,0,0,1,0,
"Reward,Service,SDM -Good",0,0,0,1,
Ga bisa dibuka apps nya,0,0,1,0,
Appnya coba di permudah,1,0,0,0,
"Mantap, banyak promo, tapi kadang error pas hari hari tertentu",0,0,1,1,
"Ini tiba2 minta update , tp ngak bisa di update ,padahal terakhir pake kemaren malam masih bisa , kacau nich sbuck",0,0,1,0,
Mantap,0,0,0,1,
"Suka ngasih promo gaes, mayan banget kalo lagi akhir bulan",0,0,1,0,
Prosesny kdg Ribet mu download kdg susah..smoga Bs d perbaiki lagi perfomany,1,0,1,0,
apps down mlulu. saldo jadi nggak bisa transaksi,1,0,1,0,
Oke hari ini sdh mantep appnya.hehee,0,0,0,1,
Sering ngadat dan eror,0,0,1,0,
"Payah nih aplikasi abis di update malah gagal trus pas masuk. Sinyal kenceng malah suruh refresh mulu. IT nya kerjain apa sih,sekelas starbucks IT nya ABAL ABAL!!!",0,0,1,0,
Lemot bgt,1,1,0,0,
Kenapa setelah diupdate aplikasinya jd gak bisa dibukaaaaaaaa?????,0,0,1,0,
Semakin di update malah semakin ancur. Lepaspasang aplikasi gak juga bener. Udah pakai wifi karna pakai data di bilang jaringan kena tapi tetap juga 🗿,0,0,1,0,
Parah. Habis update langsung lemooooooooot pol. Gakbisa tampil gambarnya. Perbaiki dong. Mending aplikasi yg lama.,1,1,1,0,
"Tolong ditingkatkan dan dibenahi aplikasinya. sangat susah untuk mengakses aplikasinya, saya sudah coba gonta ganti jaringan masih saja gagal buka.",1,0,1,0,
Sungguh sungguh lemot aplikasi nya,1,1,0,0,
"App starbucks error terus gabisa login, sekalinya udh bisa buka reward gabisa2 ... udah banyak yang kasih komen keluhan kenapa tidak ada peningkatannya",0,0,1,0,
"Setelah di update koq malah ga kebuka, network unstable mulu, padahal buka aplikasi lain, lancar2 aja.. mending balikin aja ke versi sebelumnya..",0,0,1,0,
Aneh bgt.. Abis update malah lemot buka aplikasinya.. Padahal yg sebelumnya aman aman ajh,1,1,0,0,
Lelet,1,1,0,0,
"Ini kecepatan internetnya harus 91gbps kalinya, lemot bgt aplikasinya cok",1,1,1,0,
app lag,0,0,1,0,
Udah aku klik join now beberapa kali ga bisa,0,0,1,0,
👍🌟🌟🌟🌟🌟,0,0,0,1,
"Tolong bugs diperbaiki, setelah update apps versi terbaru loading membutuhkan waktu yg lama pada saat aplikasinya digunakan. Kenyamanan bertransaksi saat menggunakan apps sangat terganggu",0,1,1,0,
"nyesel banget aku update, malah makin lemot ampun daah, dari login sampai semua fiturnya ruaaarr biasa lelet..segera perbaiki bugs nya kalau pengen pelanggan setia tetap sudi spend money buat kalian, mengingat sudah banyak pesaing bisnis yg jauh lebih friendly kantong, thx",0,1,1,0,
Gila yaaa aplikasinya berat bgt apa smpe susah di buka. Apa apa suruh lewat aplikasi tapi aplikasinya parah bgt loading doang,1,1,1,0,
Lemot...udah isi saldo tau ga lsg ke isi...saya malu bgt dikira saya ga punya duit. Padahal saya ini recus setia.,0,1,1,0,
"Parah si sekelas starbuck tp aplikasi nya susah mau top up krna aplikasi error 🤦‍♀️🤦‍♀️ kalau d update tlg yg bgs dong, ga mungkin low budget kan untuk ngurus aps nya 🥲",1,0,1,0,
"Coba dftr strbuck dam login tp gagal, coba call center tp malah gk diangkat udh mah kenaa penguran pulsa:)",0,0,1,0,
"Aplikasi ga bisa di buka, loading lama bgt padahal wifi kenceng bgt",0,1,1,0,
Ga bisa login....habis upgrade keluar ga bs masuk² lagi..hihh,0,0,1,0,
min kok gabisa sign in padahal udah bener email passnya:(,0,0,1,0,
OTP Via WhatsApp Min Tolong Update Versi Barunya,0,0,1,0,
Kenapa ya ketika sign up tuh salah nya di email terus sampe Gonta ganti email tetep aja katanya ga valid udah males duluan jadinya .,0,0,1,0,
Untuk order via apps harusnya bisa detect store yg bener bener deket. Atau memang hanya bisa dipakai untuk area jakarta saja ?,0,0,1,0,
Sangat buruk aplikasinya ga bisa login.,0,0,1,0,
"Udah saya install terus uninstall tapi tetep gabisa dibuka, tolong untuk segera diperbaiki. Terimakasih",0,0,1,0,
Good,0,0,0,1,
"Parah si buka aplikasi tampilan nya logo doang, udah di depan kasir. Sudah banyak keluhan tolong diperbaiki !!!!",0,0,1,0,
"Katanya kode verifikasi dikirim di email, tapi ko gaada email masuk?",0,0,1,0,
Mahal sampai diskon pun masih terasa mahal,0,0,0,0,
Parah samapi kasir aplikasi eror,0,0,1,0,
Lemot,0,1,1,0,
Capek sendiri bolakbalik email tp gabsa login jg pdhl kode otp nya gada-_- heran,0,0,1,0,
UI kurang Nyaman aja susah Custom Pesanan juga BTW ini Kalo Mau REFERAL : ARIEFR-3D306A,1,0,1,0,
"Aplikasi nya sulit dibuka, kadang gak bisa dibuka sama sekali",0,0,1,0,
Sering gangguan Tidak bisa di buka Bad!!!,0,0,1,0,
Menunya bagus tapi kalau aplikasinya susah daftarnya udah bener isi data malah invalid code 🤣🤣👍👍,0,0,1,0,
"Kalau bisa sediakan juga menu top up untuk ovo, dana gopay dll",1,1,0,0,
"Untuk menu ordernya ditambahin dong, kan bukan di pulau jawa doang yang mau mesen",0,0,1,0,
cara masukan refferal code yng gk puny teman piye toh,1,0,0,0,
Udh lebih dari 10x lebih x gua download dan uninstalled ga bisa jga login. Cape bed. Apa perlu pake iphone biar lancar. Hey tingkatkan lgi x penilaian nya rendah semua. Ga ada kemajuan2 atas komplainnya.,0,0,1,0,
